caseID; gamma0; c0; beta0; btoc0; lnw0; gamma1; c1; beta1; btoc1; lnw1; gamma2; c2; beta2; btoc2; lnw2
0; -26; 20; -26; 0.5; 0; -19; 20; -19; 0.5; 0; -15; 20; -15; 0.5; 0
1; -48.5; 20.0; -26.0; 0.5; 0.0; -19.0; 20.0; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
2; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 20.0; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
3; -3.5; 15.625; -26.0; 0.5; 0.0; -19.0; 20.0; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
4; -3.5; 20.0; -48.5; 0.5; 0.0; -19.0; 20.0; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
5; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 20.0; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
6; -3.5; 20.0; -26.0; 0.5; 0.0; -41.5; 20.0; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
7; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 13.125; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
8; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
9; -26.0; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
10; -3.5; 15.625; -26.0; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
11; -3.5; 20.0; -48.5; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
12; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
13; -3.5; 20.0; -26.0; 0.5; 0.0; -41.5; 26.875; -19.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
14; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
15; -26.0; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
16; -3.5; 15.625; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
17; -3.5; 20.0; -48.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
18; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
19; -3.5; 20.0; -26.0; 0.5; 0.0; -41.5; 26.875; -41.5; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
20; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
21; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -64.0; 0.5; 0.0; -15.0; 20.0; -15.0; 0.5; 0.0
22; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -37.5; 20.0; -15.0; 0.5; 0.0
23; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 10.625; -15.0; 0.5; 0.0
24; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
25; -26.0; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
26; -3.5; 15.625; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
27; -3.5; 20.0; -48.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
28; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
29; -3.5; 20.0; -26.0; 0.5; 0.0; -41.5; 26.875; -41.5; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
30; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
31; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -64.0; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
32; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 29.375; -15.0; 0.5; 0.0
33; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -37.5; 29.375; -15.0; 0.5; 0.0
34; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
35; -26.0; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
36; -3.5; 15.625; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
37; -3.5; 20.0; -48.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
38; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
39; -26.0; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
40; -3.5; 15.625; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
41; -3.5; 20.0; -3.5; 0.5; 0.0; -41.5; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
42; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
43; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -64.0; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
44; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 38.75; -15.0; 0.5; 0.0
45; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -37.5; 38.75; -15.0; 0.5; 0.0
46; -3.5; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
47; -26.0; 20.0; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
48; -3.5; 15.625; -3.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
49; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
50; -26.0; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
51; -3.5; 15.625; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
52; -3.5; 20.0; -48.5; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
53; -3.5; 20.0; -26.0; 0.5; 0.0; -41.5; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
54; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
55; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -64.0; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
56; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -19.0; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
57; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -37.5; 38.75; -37.5; 0.5; 0.0
58; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 29.375; -37.5; 0.5; 0.0
59; -3.5; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -60.0; 0.5; 0.0
60; -14.75; 20.0; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
61; -3.5; 17.8125; -26.0; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
62; -3.5; 20.0; -37.25; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
63; -3.5; 20.0; -14.75; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
64; -14.75; 20.0; -14.75; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
65; -3.5; 17.8125; -14.75; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
66; -3.5; 20.0; -14.75; 0.5; 0.0; -30.25; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
67; -3.5; 20.0; -14.75; 0.5; 0.0; -7.75; 26.875; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
68; -3.5; 20.0; -14.75; 0.5; 0.0; -19.0; 23.4375; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
69; -3.5; 20.0; -14.75; 0.5; 0.0; -19.0; 30.3125; -41.5; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
70; -3.5; 20.0; -14.75; 0.5; 0.0; -19.0; 26.875; -52.75; 0.5; 0.0; -15.0; 38.75; -37.5; 0.5; 0.0
