caseID; F
0; 90374.8
1; 92020.2
2; 93023
3; 90466.4
4; 90409.3
5; 90324.1
6; 91305.2
7; 90540.8
8; 99848.4
9; 96075.2
10; 95871.5
11; 91405.3
12; 95922.2
13; 91894.1
14; 94511.2
15; 93513.2
16; 90461.9
17; 90439.9
18; 91151.1
19; 92712.6
20; 91278.8
21; 92351.1
22; 91603
23; 90476.7
24; 91435.3
25; 90948.6
26; 90591.7
27; 90225.9
28; 90368.9
29; 95615.6
30; 91825
31; 92120.8
32; 90535.2
33; 90923.4
34; 90660.8
35; 90279
36; 90895.5
37; 90852.4
38; 89853.8
39; 90048.1
40; 89929.4
41; 89952.6
42; 89941.4
43; 90101.2
44; 89934.2
45; 90403.3
46; 92312.4
47; 90026.7
48; 91157.7
49; 92286.2
50; 91774
51; 89940.9
52; 90884.4
53; 90637.1
54; 91501
55; 92747
56; 93482.7
57; 95693.3
58; 90134.9
59; 89930.9
60; 89899.7
61; 89854.3
62; 90317.2
63; 89985.2
64; 89921
65; 90852.3
66; 90255.8
67; 90941.7
68; 89772.6
69; 90674.2
70; 89637
71; 89490.7
72; 89863.3
73; 89158.2
74; 89291.1
75; 89340.5
76; 89429.1
77; 89263
78; 89256.1
79; 90075.8
80; 89932.9
81; 89616.3
82; 89526.5
83; 89302
84; 89378.4
85; 89316.6
86; 89268.3
87; 89319
88; 89051.9
