caseID; F
0; 12.837
1; 13.0049
2; 12.6532
3; 12.704
4; 12.6778
5; 12.7398
6; 14.004
7; 12.8128
8; 12.6521
9; 12.8413
10; 12.7165
11; 12.6538
12; 12.7122
13; 14.0437
14; 12.5513
15; 12.8351
16; 12.5611
17; 12.671
18; 12.5645
19; 14.333
20; 12.6634
21; 12.963
22; 12.8578
23; 12.6332
24; 12.518
25; 12.7673
26; 12.5303
27; 12.6191
28; 12.5286
29; 14.4347
30; 12.5641
31; 12.9586
32; 12.643
33; 13.0128
34; 12.5084
35; 12.7759
36; 12.5407
37; 12.6264
38; 12.458
39; 12.7951
40; 12.4749
41; 14.2533
42; 12.6038
43; 12.8378
44; 12.7328
45; 13.0348
46; 12.3595
47; 12.802
48; 12.3915
49; 12.3574
50; 12.8124
51; 12.4021
52; 12.4917
53; 14.3906
54; 12.4594
55; 12.9336
56; 12.6078
57; 13.0744
58; 12.4765
59; 12.5266
60; 12.6001
61; 12.3832
62; 12.457
63; 12.2957
64; 12.5098
65; 12.3177
66; 13.4648
67; 12.6545
68; 12.4188
69; 12.3548
70; 12.5369
71; 12.4793
72; 12.6863
73; 12.2539
74; 12.4394
75; 12.2372
76; 12.4462
77; 12.2813
78; 12.2767
79; 12.2668
80; 13.1146
81; 12.8237
82; 12.2905
83; 12.3047
84; 12.5078
85; 12.398
86; 12.2283
87; 12.4976
88; 12.2255
89; 12.292
90; 12.2189
