caseID; gamma0; c0; beta0; btoc0; lnw0; gamma1; c1; beta1; btoc1; lnw1; gamma2; c2; beta2; btoc2; lnw2
0; -3.5; 15.625; -14.75; 0.5; 0; -19; 26.875; -41.5; 0.5; 0; -3.75; 24.6875; -37.5; 0.5; 0
1; -26.0; 15.625; -14.75; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
2; -3.5; 11.25; -14.75; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
3; -3.5; 20.0; -14.75; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
4; -26.0; 20.0; -14.75; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
5; -3.5; 20.0; -37.25; 0.5; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
6; -3.5; 20.0; -14.75; 0.3; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
7; -26.0; 20.0; -14.75; 0.3; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
8; -3.5; 15.625; -14.75; 0.3; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
9; -3.5; 20.0; -37.25; 0.3; 0.0; -19.0; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
10; -3.5; 20.0; -14.75; 0.3; 0.0; -41.5; 26.875; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
11; -3.5; 20.0; -14.75; 0.3; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
12; -26.0; 20.0; -14.75; 0.3; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
13; -3.5; 15.625; -14.75; 0.3; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
14; -3.5; 20.0; -37.25; 0.3; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
15; -3.5; 20.0; -14.75; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
16; -26.0; 20.0; -14.75; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
17; -3.5; 15.625; -14.75; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
18; -3.5; 20.0; -37.25; 0.5; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
19; -3.5; 20.0; -14.75; 0.7; 0.0; -19.0; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
20; -3.5; 20.0; -14.75; 0.5; 0.0; -41.5; 20.0; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
21; -3.5; 20.0; -14.75; 0.5; 0.0; -19.0; 13.125; -41.5; 0.5; 0.0; -3.75; 24.6875; -37.5; 0.5; 0.0
