caseID; F
0; 204762
1; 225284
2; 206828
3; 202497
4; 219562
5; 209236
6; 200855
7; 219180
8; 204850
9; 205241
10; 326703
11; 173039
12; 189287
13; 174580
14; 176211
15; 172990
16; 190044
17; 177095
18; 182783
19; 173734
20; 274312
21; 165693
22; 161995
23; 175310
24; 162678
25; 166650
26; 161313
27; 154502
28; 158177
29; 152748
30; 152956
31; 152744
32; 153193
33; 157560
34; 146715
35; 149585
36; 145659
37; 145166
38; 147737
39; 147455
40; 145280
41; 145155
42; 145310
43; 145757
44; 147349
45; 151561
46; 151780
47; 146705
48; 145902
49; 144025
50; 144224
51; 144255
52; 144865
53; 144639
54; 148235
55; 147934
56; 151377
57; 150430
58; 146050
59; 144649
60; 151175
61; 144638
62; 160936
63; 147083
64; 143201
65; 143336
66; 143763
67; 143357
68; 142858
69; 142858
70; 142909
71; 147679
72; 144679
73; 142703
74; 150356
75; 141044
76; 140991
77; 143517
78; 140806
79; 140973
80; 140744
81; 140696
82; 140680
83; 140798
84; 140918
85; 140763
86; 142422
87; 140684
88; 144926
89; 140677
90; 140681
91; 140797
92; 140723
93; 140791
94; 140861
95; 142438
96; 144896
97; 140689
98; 140132
99; 140180
100; 140148
101; 140284
102; 140248
103; 140163
104; 140181
105; 141345
106; 142298
107; 144223
108; 142178
109; 140283
110; 140175
111; 140017
112; 141412
113; 139900
114; 140192
115; 140192
116; 140161
117; 141708
118; 140063
119; 143492
120; 141409
121; 144098
122; 148873
123; 144487
124; 165890
125; 139804
126; 140059
127; 140433
128; 140064
129; 140135
130; 140064
131; 141707
132; 143430
133; 141439
134; 143903
135; 148731
136; 144479
137; 165987
138; 140673
139; 139851
140; 139922
141; 139901
142; 140025
143; 139909
144; 140005
145; 139878
146; 140415
147; 139629
148; 139522
149; 139424
150; 139621
151; 139808
152; 139525
153; 140000
154; 139522
155; 139522
156; 140148
157; 140814
158; 140210
159; 141438
160; 141303
161; 142959
162; 142948
163; 143558
164; 140113
165; 140987
166; 149388
167; 139974
168; 139906
169; 139909
170; 139629
171; 139650
172; 139744
173; 139522
174; 143203
175; 140549
176; 140572
177; 139550
178; 140635
179; 139872
180; 139515
181; 140387
182; 140152
183; 140348
184; 139520
185; 139493
186; 139490
187; 139521
188; 139757
189; 139545
190; 139650
191; 139553
192; 139550
193; 139617
194; 139510
195; 140815
196; 139616
197; 140034
198; 139527
199; 139903
200; 139530
201; 139495
202; 139933
203; 139231
204; 139293
205; 139676
206; 139249
207; 139168
208; 139140
209; 139238
210; 139291
211; 139492
212; 139159
213; 139521
214; 139136
215; 139139
216; 139136
217; 139137
218; 139265
219; 139493
220; 139153
221; 139135
222; 139132
223; 139136
224; 139140
225; 139147
226; 139135
227; 139265
228; 139423
229; 139237
230; 139137
231; 139258
232; 139232
233; 139271
234; 139265
235; 139261
236; 139522
237; 139152
238; 139386
239; 139778
240; 139387
241; 139495
242; 139647
243; 140180
244; 139246
245; 139168
246; 139384
247; 139361
248; 139518
249; 139108
250; 139136
251; 139106
252; 139394
253; 139261
254; 139386
255; 139013
256; 139136
257; 139006
258; 139007
259; 139008
260; 139167
261; 139107
262; 139237
263; 139033
264; 139001
265; 139520
266; 139135
267; 139897
268; 139000
269; 139007
270; 138989
271; 139008
272; 138909
273; 139136
274; 138911
275; 139533
276; 139776
277; 139773
278; 139688
279; 140670
280; 140050
281; 140883
282; 145186
283; 142435
284; 141958
285; 147955
286; 139008
287; 139233
288; 139009
289; 139649
290; 138976
291; 138967
292; 139261
293; 139258
294; 139419
295; 139423
296; 139521
297; 140193
298; 139493
299; 139685
300; 139400
301; 140552
302; 139925
303; 139903
304; 142255
305; 138976
306; 138912
307; 139128
308; 139264
309; 139270
310; 138982
311; 139110
312; 138913
313; 139103
314; 139290
315; 139264
316; 139264
317; 138975
318; 139301
319; 138982
320; 139160
321; 139136
322; 139272
323; 139365
324; 140154
325; 138982
326; 138982
327; 138905
328; 138979
329; 139425
330; 139007
331; 139237
332; 139136
333; 138981
334; 139001
335; 138905
336; 138888
337; 138897
338; 138887
339; 138906
340; 138912
341; 138991
342; 138882
343; 138887
344; 138907
345; 138913
346; 138886
347; 138980
348; 139002
349; 139244
350; 139130
351; 139007
352; 139139
353; 139233
354; 139033
355; 138906
356; 139163
357; 138990
358; 139291
359; 138973
360; 139164
361; 139361
362; 139520
363; 138912
364; 138976
365; 139104
366; 138912
367; 139235
368; 138912
369; 138976
370; 138888
371; 139264
372; 138964
373; 139166
374; 139135
375; 138906
376; 139014
377; 138906
378; 138887
379; 139015
380; 138895
381; 139008
382; 138982
383; 138907
384; 138906
385; 138887
386; 138884
387; 138908
388; 138983
389; 139001
390; 139143
391; 138885
392; 138908
393; 138887
394; 139552
395; 138937
396; 139107
397; 139002
398; 138906
399; 138976
400; 138887
401; 138885
402; 139006
403; 138888
404; 138908
405; 139034
406; 138886
407; 138888
408; 139803
409; 138884
410; 138910
411; 138887
412; 138905
413; 139018
414; 138887
415; 138912
416; 138884
417; 138982
418; 138912
419; 139103
420; 138913
421; 138906
422; 138912
423; 138883
424; 138884
425; 138983
426; 138888
427; 138881
428; 138884
429; 138887
430; 138881
431; 138881
432; 138880
433; 139009
434; 138880
435; 138881
436; 138881
437; 138881
438; 138906
439; 139264
440; 138881
441; 138887
442; 138882
443; 138912
444; 138895
445; 138911
446; 138912
447; 138911
448; 138912
449; 138911
450; 138991
451; 139033
452; 139001
453; 139011
454; 139040
455; 138913
456; 139798
457; 138901
458; 138979
459; 138880
460; 138898
461; 138881
462; 138912
463; 138890
464; 138979
465; 138906
466; 138884
467; 138906
468; 138880
469; 138881
470; 138977
471; 138884
472; 138882
473; 138883
474; 138881
475; 139360
476; 138880
477; 138881
478; 138887
479; 138880
480; 138887
481; 138888
482; 138880
483; 138881
484; 138881
485; 138886
486; 138886
487; 138885
488; 138892
489; 138884
490; 139263
491; 138880
492; 138881
493; 138905
494; 138881
495; 138881
496; 138887
497; 138881
498; 138880
499; 138880
500; 138881
501; 138886
502; 138880
503; 138887
504; 138881
505; 138881
506; 138880
507; 138881
508; 140543
509; 138885
510; 138880
511; 138887
512; 138884
513; 138881
514; 138880
515; 138881
516; 138888
517; 138880
518; 138882
519; 138887
520; 138881
521; 138880
522; 138880
523; 138881
524; 138881
525; 138880
526; 138887
527; 138880
528; 138880
529; 138880
530; 138880
531; 138880
532; 138884
533; 138880
534; 138884
535; 138884
536; 138880
537; 138880
538; 138881
539; 138880
540; 138880
541; 138880
542; 138883
543; 138881
544; 138880
545; 138880
546; 138881
547; 138881
548; 138880
549; 138886
550; 138880
551; 138880
552; 138881
553; 138880
554; 138880
555; 138885
556; 138881
557; 138881
